source,dataset,attack,model,metric,n,mean_delta_auc,std_delta_auc,ci95_low,ci95_high,privacy_improvement_seed_count,exact_sign_p_one_sided,interpretation
seed_stability,lee2019_mi,threshold(neg-entropy),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.002719444444444455,0.0361054796712942,-0.06017131963465759,0.05473243074576868,3,0.3125,practical-tie
seed_stability,physionet_motor_imagery,learned+label,"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.024537722908093265,0.02908622705472574,-0.0708204008205788,0.02174495500439228,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,learned+label,mixup_eegnet (alpha=0.20),attack_auc,4,-0.012286694101508885,0.0321929076818809,-0.0635127941557885,0.03893940595277073,2,0.6875,unstable-privacy-edge
seed_stability,physionet_motor_imagery,learned+label,confidence_penalty_eegnet (beta=0.025),attack_auc,4,-0.0021563786008230584,0.002336207436834264,-0.005873805963688469,0.0015610487620423522,4,0.0625,practical-tie
seed_stability,physionet_motor_imagery,learned+label,csp_lda,attack_auc,4,0.07557475994513037,0.07065591785547254,-0.036854572417678116,0.18800409230793885,1,0.9375,no-privacy-improvement
seed_stability,physionet_motor_imagery,learned,"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.025285322359396373,0.03616729676480778,-0.08283556234003736,0.03226491762124462,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,learned,mixup_eegnet (alpha=0.20),attack_auc,4,-0.009227709190672076,0.04441165265021175,-0.07989655913478928,0.06144114075344513,1,0.9375,unstable-privacy-edge
seed_stability,physionet_motor_imagery,learned,confidence_penalty_eegnet (beta=0.025),attack_auc,4,-0.0005212620027434389,0.0005913889790296588,-0.0014622938383928238,0.000419769832905946,3,0.3125,practical-tie
seed_stability,physionet_motor_imagery,learned,csp_lda,attack_auc,4,0.07735390946502065,0.06782323799953051,-0.030567997126989904,0.1852758160570312,1,0.9375,no-privacy-improvement
seed_stability,physionet_motor_imagery,learned(mlp),mixup_eegnet (alpha=0.20),attack_auc,4,0.0022949245541838,0.059374761714996116,-0.09218357096932765,0.09677342007769525,2,0.6875,practical-tie
seed_stability,physionet_motor_imagery,learned(mlp),confidence_penalty_eegnet (beta=0.025),attack_auc,4,0.004303840877914938,0.07020184125824096,-0.10740295429030569,0.11601063604613557,2,0.6875,practical-tie
seed_stability,physionet_motor_imagery,learned(mlp),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,0.005188614540466374,0.030258659125202488,-0.04295966442746193,0.05333689350839468,3,0.3125,no-privacy-improvement
seed_stability,physionet_motor_imagery,learned(mlp),csp_lda,attack_auc,4,0.007528806584362113,0.11797333248090924,-0.18019309145360865,0.19525070462233288,2,0.6875,no-privacy-improvement
seed_stability,physionet_motor_imagery,threshold(label-known),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.1014831961591221,0.028295537013971445,-0.14650770977219585,-0.05645868254604834,4,0.0625,directionally-supported
seed_stability,physionet_motor_imagery,threshold(label-known),csp_lda,attack_auc,4,-0.09741152263374488,0.02443277381917069,-0.1362895180180778,-0.05853352724941196,4,0.0625,directionally-supported
seed_stability,physionet_motor_imagery,threshold(label-known),mixup_eegnet (alpha=0.20),attack_auc,4,-0.0028511659807956558,0.011507949210357693,-0.021162881203746552,0.01546054924215524,2,0.6875,practical-tie
seed_stability,physionet_motor_imagery,threshold(label-known),confidence_penalty_eegnet (beta=0.025),attack_auc,4,0.0003062414266118141,0.0011103800510073392,-0.001460621018783015,0.002073103872006643,1,0.9375,practical-tie
seed_stability,physionet_motor_imagery,threshold(max-prob),csp_lda,attack_auc,4,-0.09730675582990396,0.09163662641057173,-0.24312107740442312,0.04850756574461519,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(max-prob),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.049573902606310005,0.036973637498550656,-0.1084072106314011,0.009259405418781098,4,0.0625,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(max-prob),mixup_eegnet (alpha=0.20),attack_auc,4,-0.022730281207132982,0.01672871240765643,-0.049349395704087584,0.003888833289821623,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(max-prob),confidence_penalty_eegnet (beta=0.025),attack_auc,4,0.001065329218107064,0.004685937225967431,-0.0063910425876799555,0.008521701023894084,1,0.9375,practical-tie
seed_stability,physionet_motor_imagery,threshold(neg-entropy),csp_lda,attack_auc,4,-0.0973070987654321,0.09163589695057794,-0.24312025960632022,0.048506062075456005,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(neg-entropy),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.04956670096021948,0.03697875413162275,-0.10840815069031848,0.009274748769879514,4,0.0625,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(neg-entropy),mixup_eegnet (alpha=0.20),attack_auc,4,-0.022731310013717393,0.01672896163744636,-0.04935082109088407,0.003888201063449278,3,0.3125,promising-but-underpowered
seed_stability,physionet_motor_imagery,threshold(neg-entropy),confidence_penalty_eegnet (beta=0.025),attack_auc,4,0.001064814814814824,0.004685287631305818,-0.006390523340906804,0.008520152970536453,1,0.9375,practical-tie
